income_year,sex,taxable_status,age_range,taxable_income_range,tax_bracket,tax_bracket_range,individuals_count,salary_wages_count,salary_wages_amount,total_income_count,total_income_amount,car_expenses_count,car_expenses_amount,travel_expenses_count,travel_expenses_amount,uniform_expenses_count,uniform_expenses_amount,education_expenses_count,education_expenses_amount,other_work_expenses_count,other_work_expenses_amount,donations_count,donations_amount,tax_affairs_count,tax_affairs_amount,ato_interest_count,ato_interest_amount,litigation_count,litigation_amount,other_tax_affairs_count,other_tax_affairs_amount,total_deductions_count,total_deductions_amount,capital_gains_count,capital_gains_amount,rent_profit_count,rent_profit_amount,rent_loss_count,rent_loss_amount,net_rent_count,net_rent_amount,business_income_count,business_income_amount,business_expenses_count,business_expenses_amount,net_business_count,net_business_amount,taxable_income_count,taxable_income_amount,net_tax_count,net_tax_amount
2013–14,Female,Taxable,06. 45 - 49,"B00080001. $80,001 to $90,000",4,"$80,001 to $180,000",29675.0,27886.0,2263899079.0,29675.0,2612944578.0,11470.0,22435432.0,4686.0,4542998.0,13512.0,3396188.0,1790.0,3175380.0,23398.0,32827725.0,16295.0,6693715.0,17704.0,5513751.0,,,,,,,28273.0,98077143.0,2056.0,21827411.0,2506.0,19520139.0,4875.0,-36744902.0,7381.0,-17224763.0,1389.0,171220710.0,1381.0,131816875.0,1498.0,37461047.0,29675.0,2513810496.0,29675.0,607250851.0
2013–14,Female,Taxable,06. 45 - 49,"B00090001. $90,001 to $100,000",4,"$80,001 to $180,000",18800.0,17673.0,1587062123.0,18800.0,1847333953.0,7177.0,15705116.0,3399.0,3621896.0,7981.0,2028446.0,1202.0,2099023.0,14926.0,21421156.0,10637.0,4794885.0,11346.0,3772705.0,,,,,,,17973.0,67899649.0,1496.0,19252861.0,1816.0,15149828.0,3243.0,-25289524.0,5059.0,-10139696.0,992.0,92238763.0,966.0,58046129.0,1043.0,33145202.0,18800.0,1778981607.0,18800.0,456108692.0
2013–14,Female,Taxable,06. 45 - 49,"B00100001. $100,001 to $150,000",4,"$80,001 to $180,000",34757.0,31516.0,3301049674.0,34757.0,4277416193.0,11390.0,32413757.0,6004.0,8133744.0,11295.0,2865947.0,1925.0,4507610.0,25360.0,37314417.0,19468.0,10972255.0,20227.0,8592144.0,,,,,,,32786.0,149871574.0,3755.0,79390580.0,4028.0,39457078.0,6980.0,-66635800.0,11008.0,-27178722.0,2280.0,315164145.0,2260.0,200154745.0,2445.0,112869182.0,34757.0,4125984591.0,34757.0,1161980999.0
2013–14,Female,Taxable,06. 45 - 49,"B00150001. $150,001 to $180,000",4,"$80,001 to $180,000",8290.0,6792.0,825929357.0,8290.0,1421921615.0,2090.0,7928761.0,1123.0,1968602.0,1744.0,412444.0,294.0,877246.0,4981.0,7772724.0,4314.0,3580752.0,4595.0,4855155.0,,,,,,,7578.0,50919075.0,1138.0,38606235.0,1114.0,13776842.0,1803.0,-22557643.0,2917.0,-8780801.0,707.0,99050932.0,670.0,49193147.0,754.0,49431183.0,8290.0,1370404484.0,8290.0,424139669.0
2013–14,Female,Taxable,06. 45 - 49,"B00180001. $180,001 to $250,000",5,"$180,001 or more",7634.0,6136.0,912236400.0,7634.0,1633420155.0,1852.0,7048842.0,1064.0,2093610.0,1272.0,301460.0,244.0,909895.0,4509.0,8815320.0,4170.0,4932220.0,4361.0,3226506.0,,,,,,,7020.0,53532295.0,1260.0,54678243.0,1102.0,16267777.0,1722.0,-23167045.0,2824.0,-6899268.0,815.0,195110637.0,801.0,112498449.0,849.0,81011869.0,7634.0,1578738854.0,7634.0,526141585.0
2013–14,Female,Taxable,06. 45 - 49,"B00250001. $250,001 to $500,000",5,"$180,001 or more",4977.0,3844.0,820006752.0,4977.0,1690993510.0,1129.0,4625745.0,712.0,1753173.0,630.0,145034.0,141.0,643900.0,2754.0,8647791.0,2872.0,4453596.0,3043.0,3568404.0,,,,,,,4608.0,50250880.0,953.0,72332641.0,801.0,12416872.0,1196.0,-20817692.0,1997.0,-8400820.0,729.0,278525763.0,709.0,145739852.0,752.0,131577917.0,4977.0,1639404582.0,4977.0,621185950.0
2013–14,Female,Taxable,06. 45 - 49,"B00500001. $500,001 to $1,000,000",5,"$180,001 or more",1101.0,730.0,221709168.0,1101.0,745681591.0,176.0,798789.0,102.0,313251.0,64.0,15898.0,14.0,38780.0,478.0,1375844.0,626.0,2812167.0,654.0,1478549.0,,,,,,,1007.0,16343792.0,299.0,60818400.0,171.0,3491496.0,268.0,-7089692.0,439.0,-3598196.0,181.0,127257901.0,182.0,56763878.0,188.0,70081636.0,1101.0,729124944.0,1101.0,305315472.0
2013–14,Female,Taxable,06. 45 - 49,"Y01000001. $1,000,001 or more",5,"$180,001 or more",363.0,210.0,82745091.0,363.0,801809497.0,45.0,260812.0,21.0,73485.0,19.0,4053.0,1.0,1930.0,104.0,313280.0,211.0,7431998.0,221.0,842479.0,,,,,,,321.0,12872240.0,146.0,226983768.0,68.0,2024300.0,71.0,-2352838.0,139.0,-328538.0,27.0,16633095.0,28.0,5313023.0,30.0,14004581.0,363.0,788524908.0,363.0,352756188.0
2013–14,Female,Taxable,07. 50 - 54,"A00006000. $6,000 or less",1,"$18,200 or less",810.0,46.0,171509.0,809.0,3062458.0,4.0,6158.0,4.0,9042.0,6.0,1184.0,0.0,0.0,25.0,20132.0,52.0,21158.0,402.0,192718.0,,,,,,,464.0,452538.0,44.0,134389.0,633.0,2496464.0,16.0,-83123.0,649.0,2413341.0,17.0,547481.0,13.0,485170.0,17.0,47219.0,810.0,2280452.0,810.0,724384.0
2013–14,Female,Taxable,07. 50 - 54,"B00006001. $6,001 to $10,000",1,"$18,200 or less",444.0,20.0,253032.0,444.0,3906831.0,2.0,5223.0,1.0,1322.0,6.0,2280.0,0.0,0.0,10.0,6628.0,28.0,18854.0,235.0,109057.0,,,,,,,270.0,275470.0,12.0,60627.0,399.0,3305666.0,13.0,-131015.0,412.0,3174651.0,5.0,91355.0,4.0,81487.0,5.0,8953.0,444.0,3528469.0,444.0,1086184.0
2013–14,Female,Taxable,07. 50 - 54,"B00010001. $10,001 to $18,200",1,"$18,200 or less",598.0,79.0,1235887.0,598.0,9299988.0,19.0,27348.0,5.0,5210.0,32.0,8021.0,3.0,4567.0,44.0,33113.0,57.0,49344.0,322.0,164574.0,,,,,,,389.0,764631.0,40.0,268752.0,418.0,5626357.0,35.0,-373086.0,453.0,5253271.0,18.0,858248.0,18.0,942628.0,18.0,-127188.0,598.0,8365674.0,598.0,2101858.0
2013–14,Female,Taxable,07. 50 - 54,"B00018201. $18,201 to $25,000",2,"$18,201 to $37,000",33113.0,26917.0,587670892.0,33113.0,802080270.0,7164.0,12891493.0,1270.0,995533.0,17787.0,4393521.0,1011.0,1361820.0,16133.0,8458628.0,11617.0,3410942.0,15464.0,3530920.0,,,,,,,28041.0,45321447.0,1300.0,6449187.0,2377.0,18070490.0,3561.0,-25422583.0,5938.0,-7352093.0,3519.0,159164250.0,3446.0,110830076.0,3580.0,45794115.0,33113.0,753711581.0,33113.0,20494105.0
