income_year,normalized_income_range,income_range_display,sex,taxable_status,age_range_display,individuals_count,total_income_amount,net_tax_amount
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Non Taxable,Under 18,24266.0,378985887.26155174,0.0
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,18 - 24,60349.0,1630284858.187265,27718654.446210224
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,25 - 29,23513.0,627942181.3130581,12863765.210678842
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,30 - 34,14087.0,379493121.932737,8313430.8385548815
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,35 - 39,11454.0,314226597.39364886,6981550.4754935205
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,40 - 44,11209.0,305838090.5066434,7312441.992839112
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,45 - 49,11468.0,312804114.72846997,7469311.847614086
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,50 - 54,11516.0,321498325.07543194,7696640.827298817
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,55 - 59,5320.0,154112679.82598418,3764572.4185122363
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,60 - 64,6877.0,206127620.098167,4019441.908343351
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,65 - 69,1513.0,52664033.910645045,1656120.8312619124
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,70 - 74,708.0,25188403.494085763,803495.0856665852
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,75 and over,605.0,16904961.29715924,808079.2972156666
2010–11,"$10,001 to $20,000","$10,001 to $20,000",Male,Taxable,Under 18,4744.0,119771625.20738287,2785409.1769226026
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Non Taxable,55 - 59,191.0,25965283.776054706,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Non Taxable,60 - 64,1.0,202902.69288359335,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Non Taxable,75 and over,1.0,41107.140913019655,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,18 - 24,5353.0,649933968.0283717,155576908.63939124
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,25 - 29,27833.0,3478084345.0352697,827647744.5967729
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,30 - 34,42470.0,5494174127.105253,1322075117.7644608
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,35 - 39,43961.0,5747252830.16815,1385802198.466904
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,40 - 44,45411.0,5940711803.31999,1429719551.9250221
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,45 - 49,46536.0,6067937114.889229,1454321296.8720295
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,50 - 54,45019.0,5868359258.33946,1393020818.5331202
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,55 - 59,32947.0,4330495464.489704,973795630.8230271
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,60 - 64,15940.0,2129470727.6674914,483396762.9951798
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,65 - 69,5719.0,783975220.6683418,175982161.44510168
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,70 - 74,2934.0,405158532.42420995,92110505.42671126
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,75 and over,8158.0,1104676362.5727775,253728425.12990516
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Female,Taxable,Under 18,88.0,10808346.888809325,2808999.230523858
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,35 - 39,1.0,269110.0880591105,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,40 - 44,2.0,438050.9321006602,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,45 - 49,1.0,222897.6182242026,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,50 - 54,3.0,531944.4693795303,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,55 - 59,209.0,27886886.30066301,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,60 - 64,4.0,604035.8849707874,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Non Taxable,75 and over,1.0,60046.95306746772,0.0
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,18 - 24,17540.0,2261448983.9999943,539434680.011147
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,25 - 29,60317.0,7934943940.056298,1893554553.2578173
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,30 - 34,91600.0,12288925856.709232,2951945747.655679
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,35 - 39,105066.0,14246912844.236008,3441642318.345559
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,40 - 44,104611.0,14211261305.937778,3433087768.984338
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,45 - 49,98889.0,13426341448.65834,3238502146.8741026
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,50 - 54,90186.0,12226532474.366508,2930245084.7255635
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,55 - 59,69276.0,9393430496.027199,2161893100.8983746
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,60 - 64,38273.0,5213469184.040815,1192061320.0467904
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,65 - 69,12619.0,1748463158.465678,384658359.62533647
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,70 - 74,4345.0,614780844.9648876,132625792.36353652
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,75 and over,7287.0,992629477.7365088,220398873.98070395
2010–11,"$100,001 to $150,000","$100,001 to $150,000",Male,Taxable,Under 18,99.0,12577192.919854563,3160088.561103293
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Non Taxable,55 - 59,135.0,23462884.666390333,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Non Taxable,60 - 64,4.0,665242.1320816282,0.0
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,18 - 24,1554.0,261496051.22486678,72285475.99702021
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,25 - 29,7294.0,1223855038.8818572,331809006.8303697
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,30 - 34,16578.0,2830294849.6542325,769144705.6407583
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,35 - 39,19508.0,3363805603.476785,914430376.3852727
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,40 - 44,19781.0,3423976207.5001016,928041562.2645192
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,45 - 49,18972.0,3276150942.7246523,885409142.4484762
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,50 - 54,16642.0,2890040838.290236,771084278.9887815
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,55 - 59,12856.0,2256091241.5939164,549686205.9991084
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,60 - 64,6248.0,1124848834.6434736,285799787.55220294
2010–11,"$150,001 to $200,000","$150,001 to $200,000",Female,Taxable,65 - 69,2822.0,514107872.1780479,130429865.1495203
